Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen;∅ Anrainer DE/LU [€/MWh] Berechnete Auflösungen;Belgien [€/MWh] Berechnete Auflösungen;Dänemark 1 [€/MWh] Berechnete Auflösungen;Dänemark 2 [€/MWh] Berechnete Auflösungen;Frankreich [€/MWh] Berechnete Auflösungen;Niederlande [€/MWh] Berechnete Auflösungen;Norwegen 2 [€/MWh] Berechnete Auflösungen;Österreich [€/MWh] Berechnete Auflösungen;Polen [€/MWh] Berechnete Auflösungen;Schweden 4 [€/MWh] Berechnete Auflösungen;Schweiz [€/MWh] Berechnete Auflösungen;Tschechien [€/MWh] Berechnete Auflösungen;DE/AT/LU [€/MWh] Berechnete Auflösungen;Italien (Nord) [€/MWh] Originalauflösungen;Slowenien [€/MWh] Berechnete Auflösungen;Ungarn [€/MWh] Berechnete Auflösungen
01.07.2024 00:00;01.07.2024 00:15;94,88;85,43;83,01;94,88;94,88;73,37;94,73;42,76;91,94;122,38;86,70;60,89;94,23;-;92,35;92,35;97,25
01.07.2024 00:15;01.07.2024 00:30;94,88;85,43;83,01;94,88;94,88;73,37;94,73;42,76;91,94;122,38;86,70;60,89;94,23;-;92,35;92,35;97,25
01.07.2024 00:30;01.07.2024 00:45;94,88;85,43;83,01;94,88;94,88;73,37;94,73;42,76;91,94;122,38;86,70;60,89;94,23;-;92,35;92,35;97,25
01.07.2024 00:45;01.07.2024 01:00;94,88;85,43;83,01;94,88;94,88;73,37;94,73;42,76;91,94;122,38;86,70;60,89;94,23;-;92,35;92,35;97,25
01.07.2024 01:00;01.07.2024 01:15;84,32;78,01;79,10;84,32;84,32;67,30;85,70;43,64;81,79;112,75;80,79;55,39;83,01;-;83,94;82,77;88,91
01.07.2024 01:15;01.07.2024 01:30;84,32;78,01;79,10;84,32;84,32;67,30;85,70;43,64;81,79;112,75;80,79;55,39;83,01;-;83,94;82,77;88,91
01.07.2024 01:30;01.07.2024 01:45;84,32;78,01;79,10;84,32;84,32;67,30;85,70;43,64;81,79;112,75;80,79;55,39;83,01;-;83,94;82,77;88,91
01.07.2024 01:45;01.07.2024 02:00;84,32;78,01;79,10;84,32;84,32;67,30;85,70;43,64;81,79;112,75;80,79;55,39;83,01;-;83,94;82,77;88,91
01.07.2024 02:00;01.07.2024 02:15;78,19;69,71;65,19;78,19;78,19;52,95;78,19;46,24;74,60;96,87;76,31;43,47;76,59;-;83,90;75,88;85,60
01.07.2024 02:15;01.07.2024 02:30;78,19;69,71;65,19;78,19;78,19;52,95;78,19;46,24;74,60;96,87;76,31;43,47;76,59;-;83,90;75,88;85,60
01.07.2024 02:30;01.07.2024 02:45;78,19;69,71;65,19;78,19;78,19;52,95;78,19;46,24;74,60;96,87;76,31;43,47;76,59;-;83,90;75,88;85,60
01.07.2024 02:45;01.07.2024 03:00;78,19;69,71;65,19;78,19;78,19;52,95;78,19;46,24;74,60;96,87;76,31;43,47;76,59;-;83,90;75,88;85,60
01.07.2024 03:00;01.07.2024 03:15;78,01;67,93;64,46;78,01;78,01;46,05;78,01;46,88;73,35;89,15;76,14;41,62;75,52;-;83,94;75,36;89,69
01.07.2024 03:15;01.07.2024 03:30;78,01;67,93;64,46;78,01;78,01;46,05;78,01;46,88;73,35;89,15;76,14;41,62;75,52;-;83,94;75,36;89,69
01.07.2024 03:30;01.07.2024 03:45;78,01;67,93;64,46;78,01;78,01;46,05;78,01;46,88;73,35;89,15;76,14;41,62;75,52;-;83,94;75,36;89,69
01.07.2024 03:45;01.07.2024 04:00;78,01;67,93;64,46;78,01;78,01;46,05;78,01;46,88;73,35;89,15;76,14;41,62;75,52;-;83,94;75,36;89,69
