Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen;∅ Anrainer DE/LU [€/MWh] Berechnete Auflösungen;Belgien [€/MWh] Berechnete Auflösungen;Dänemark 1 [€/MWh] Berechnete Auflösungen;Dänemark 2 [€/MWh] Berechnete Auflösungen;Frankreich [€/MWh] Berechnete Auflösungen;Niederlande [€/MWh] Berechnete Auflösungen;Norwegen 2 [€/MWh] Berechnete Auflösungen;Österreich [€/MWh] Berechnete Auflösungen;Polen [€/MWh] Berechnete Auflösungen;Schweden 4 [€/MWh] Berechnete Auflösungen;Schweiz [€/MWh] Berechnete Auflösungen;Tschechien [€/MWh] Berechnete Auflösungen;DE/AT/LU [€/MWh] Berechnete Auflösungen;Italien (Nord) [€/MWh] Originalauflösungen;Slowenien [€/MWh] Berechnete Auflösungen;Ungarn [€/MWh] Berechnete Auflösungen
01.01.2024 00:00;01.01.2024 00:15;0,10;21,15;0,10;16,99;29,13;0,10;0,10;53,79;0,10;76,69;29,56;25,97;0,10;-;107,09;0,10;0,10
01.01.2024 00:15;01.01.2024 00:30;0,10;21,15;0,10;16,99;29,13;0,10;0,10;53,79;0,10;76,69;29,56;25,97;0,10;-;107,09;0,10;0,10
01.01.2024 00:30;01.01.2024 00:45;0,10;21,15;0,10;16,99;29,13;0,10;0,10;53,79;0,10;76,69;29,56;25,97;0,10;-;107,09;0,10;0,10
01.01.2024 00:45;01.01.2024 01:00;0,10;21,15;0,10;16,99;29,13;0,10;0,10;53,79;0,10;76,69;29,56;25,97;0,10;-;107,09;0,10;0,10
01.01.2024 01:00;01.01.2024 01:15;0,01;20,96;0,01;28,14;28,46;0,01;0,01;48,98;0,01;74,50;28,46;21,99;0,01;-;104,00;0,01;0,01
01.01.2024 01:15;01.01.2024 01:30;0,01;20,96;0,01;28,14;28,46;0,01;0,01;48,98;0,01;74,50;28,46;21,99;0,01;-;104,00;0,01;0,01
01.01.2024 01:30;01.01.2024 01:45;0,01;20,96;0,01;28,14;28,46;0,01;0,01;48,98;0,01;74,50;28,46;21,99;0,01;-;104,00;0,01;0,01
01.01.2024 01:45;01.01.2024 02:00;0,01;20,96;0,01;28,14;28,46;0,01;0,01;48,98;0,01;74,50;28,46;21,99;0,01;-;104,00;0,01;0,01
01.01.2024 02:00;01.01.2024 02:15;0,00;17,73;0,00;26,66;26,66;0,00;0,00;27,45;0,02;73,29;26,66;14,32;0,02;-;100,00;0,03;0,04
01.01.2024 02:15;01.01.2024 02:30;0,00;17,73;0,00;26,66;26,66;0,00;0,00;27,45;0,02;73,29;26,66;14,32;0,02;-;100,00;0,03;0,04
01.01.2024 02:30;01.01.2024 02:45;0,00;17,73;0,00;26,66;26,66;0,00;0,00;27,45;0,02;73,29;26,66;14,32;0,02;-;100,00;0,03;0,04
01.01.2024 02:45;01.01.2024 03:00;0,00;17,73;0,00;26,66;26,66;0,00;0,00;27,45;0,02;73,29;26,66;14,32;0,02;-;100,00;0,03;0,04
01.01.2024 03:00;01.01.2024 03:15;-0,01;14,59;-0,01;4,14;24,48;-0,01;-0,01;24,48;0,00;71,58;24,48;11,37;0,00;-;85,66;0,00;0,01
01.01.2024 03:15;01.01.2024 03:30;-0,01;14,59;-0,01;4,14;24,48;-0,01;-0,01;24,48;0,00;71,58;24,48;11,37;0,00;-;85,66;0,00;0,01
01.01.2024 03:30;01.01.2024 03:45;-0,01;14,59;-0,01;4,14;24,48;-0,01;-0,01;24,48;0,00;71,58;24,48;11,37;0,00;-;85,66;0,00;0,01
01.01.2024 03:45;01.01.2024 04:00;-0,01;14,59;-0,01;4,14;24,48;-0,01;-0,01;24,48;0,00;71,58;24,48;11,37;0,00;-;85,66;0,00;0,01
01.01.2024 04:00;01.01.2024 04:15;-0,03;14,23;-0,03;-0,03;24,01;-0,03;-0,03;24,01;-0,01;73,27;24,01;11,35;-0,01;-;85,00;0,00;0,01
01.01.2024 04:15;01.01.2024 04:30;-0,03;14,23;-0,03;-0,03;24,01;-0,03;-0,03;24,01;-0,01;73,27;24,01;11,35;-0,01;-;85,00;0,00;0,01
01.01.2024 04:30;01.01.2024 04:45;-0,03;14,23;-0,03;-0,03;24,01;-0,03;-0,03;24,01;-0,01;73,27;24,01;11,35;-0,01;-;85,00;0,00;0,01
01.01.2024 04:45;01.01.2024 05:00;-0,03;14,23;-0,03;-0,03;24,01;-0,03;-0,03;24,01;-0,01;73,27;24,01;11,35;-0,01;-;85,00;0,00;0,01
01.01.2024 05:00;01.01.2024 05:15;-0,02;13,09;-0,02;-0,02;15,88;-0,02;-0,02;21,23;-0,01;74,32;21,23;11,39;-0,01;-;85,53;0,00;0,01
01.01.2024 05:15;01.01.2024 05:30;-0,02;13,09;-0,02;-0,02;15,88;-0,02;-0,02;21,23;-0,01;74,32;21,23;11,39;-0,01;-;85,53;0,00;0,01
01.01.2024 05:30;01.01.2024 05:45;-0,02;13,09;-0,02;-0,02;15,88;-0,02;-0,02;21,23;-0,01;74,32;21,23;11,39;-0,01;-;85,53;0,00;0,01
01.01.2024 05:45;01.01.2024 06:00;-0,02;13,09;-0,02;-0,02;15,88;-0,02;-0,02;21,23;-0,01;74,32;21,23;11,39;-0,01;-;85,53;0,00;0,01
01.01.2024 06:00;01.01.2024 06:15;-0,05;13,54;-0,05;-0,05;15,87;-0,04;-0,05;22,62;0,00;76,69;22,62;11,34;0,00;-;95,07;0,02;0,04
01.01.2024 06:15;01.01.2024 06:30;-0,05;13,54;-0,05;-0,05;15,87;-0,04;-0,05;22,62;0,00;76,69;22,62;11,34;0,00;-;95,07;0,02;0,04
01.01.2024 06:30;01.01.2024 06:45;-0,05;13,54;-0,05;-0,05;15,87;-0,04;-0,05;22,62;0,00;76,69;22,62;11,34;0,00;-;95,07;0,02;0,04
01.01.2024 06:45;01.01.2024 07:00;-0,05;13,54;-0,05;-0,05;15,87;-0,04;-0,05;22,62;0,00;76,69;22,62;11,34;0,00;-;95,07;0,02;0,04
01.01.2024 07:00;01.01.2024 07:15;-0,02;14,08;-0,02;-0,02;22,04;-0,01;-0,02;25,04;0,00;74,55;25,04;8,31;0,00;-;104,07;0,00;0,01
01.01.2024 07:15;01.01.2024 07:30;-0,02;14,08;-0,02;-0,02;22,04;-0,01;-0,02;25,04;0,00;74,55;25,04;8,31;0,00;-;104,07;0,00;0,01
01.01.2024 07:30;01.01.2024 07:45;-0,02;14,08;-0,02;-0,02;22,04;-0,01;-0,02;25,04;0,00;74,55;25,04;8,31;0,00;-;104,07;0,00;0,01
01.01.2024 07:45;01.01.2024 08:00;-0,02;14,08;-0,02;-0,02;22,04;-0,01;-0,02;25,04;0,00;74,55;25,04;8,31;0,00;-;104,07;0,00;0,01
01.01.2024 08:00;01.01.2024 08:15;0,00;14,42;0,00;0,00;25,42;0,00;0,00;26,24;0,00;72,25;26,24;8,51;0,00;-;106,95;0,00;0,00
01.01.2024 08:15;01.01.2024 08:30;0,00;14,42;0,00;0,00;25,42;0,00;0,00;26,24;0,00;72,25;26,24;8,51;0,00;-;106,95;0,00;0,00
