window_size,window_minutes,window_hours,profit,transactions,charge_transactions,discharge_transactions,cycles,avg_charge_price,avg_discharge_price,price_spread,final_energy_level,npv
0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,-291666.1453953102
1,15,0.25,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,-291666.1453953102
2,30,0.5,13581.683062500004,2582,1292,1290,161.25,21.544450464396284,124.47687596899223,102.93242550459595,0.25,-98557.94710943573
3,45,0.75,16280.532812500007,3384,1693,1691,211.375,34.616993502658005,131.38820224719097,96.77120874453297,0.25,-63838.30452543534
4,60,1.0,17063.820437500006,3764,1883,1881,235.125,38.51806691449814,130.7440244550771,92.22595754057895,0.25,-54691.37363374793
5,75,1.25,17722.854875000015,4050,2026,2024,253.0,41.715197433366235,131.53791501976283,89.8227175863966,0.25,-46957.23539722727
6,90,1.5,19733.694437500013,4585,2293,2292,286.5,44.018634976013956,132.8427705061082,88.82413553009424,0.125,-22152.03375273323
7,105,1.75,11650.330500000004,2931,1467,1464,183.0,49.246618950238584,132.9535792349727,83.70696028473411,0.375,-127152.86547064349
8,120,2.0,11027.706937500001,2897,1449,1448,181.0,49.834195997239476,130.34725828729282,80.51306229005334,0.125,-135846.13918609574
9,135,2.25,10734.717750000002,2881,1441,1440,180.0,50.115364330326166,129.16174999999998,79.04638566967381,0.125,-139937.97931080344
10,150,2.5,11353.679562499996,3006,1504,1502,187.75,50.23948138297872,130.32788948069242,80.08840809771371,0.25,-131583.28192538538
11,165,2.75,10782.963562499994,2823,1413,1410,176.25,50.32835810332626,131.31220567375885,80.9838475704326,0.375,-139075.03119533916
12,180,3.0,12182.917749999997,3281,1642,1639,204.875,52.304384896467724,131.60617449664431,79.30178960017659,0.375,-120825.32762370627
13,195,3.25,11694.456562499992,3153,1578,1575,196.875,51.76487959442333,130.89869841269842,79.1338188182751,0.375,-127256.17721042167
14,210,3.5,11866.06131250001,3143,1572,1571,196.375,52.34764631043257,132.7135136855506,80.36586737511803,0.125,-124817.06006942122
15,225,3.75,11731.520562500014,3121,1561,1560,195.0,52.490935297885976,132.57203205128204,80.08109675339605,0.125,-126636.62713765197
16,240,4.0,11353.86900000001,3007,1505,1502,187.75,52.0714950166113,132.52804260985351,80.45654759324222,0.375,-131580.61092368193
17,255,4.25,12734.244187499999,3109,1556,1553,194.125,45.559890745501285,130.87772698003863,85.31783623453734,0.375,-112481.24144423389
18,270,4.5,12525.063187500002,3044,1523,1521,190.125,44.56370978332239,130.00041420118345,85.43670441786105,0.25,-115200.35956601294
19,285,4.75,12670.198124999995,3066,1534,1532,191.5,44.87898956975228,130.70646214099216,85.82747257123988,0.25,-113233.54452963709
20,300,5.0,12538.612937499998,3048,1525,1523,190.375,44.59910163934426,130.02397242284965,85.42487078350538,0.25,-115023.4902418558
